case_id,dim,condition_number,path_kind,observation_noise,drift_per_query,amplitude,period,protocol,method,family,seed,query_budget,total_target_displacement,final_mse,query_averaged_mse,tail_mse,queries_to_threshold,mean_gradient_cosine,updates,queries_per_update,learning_rate,smoothing,directions,maximum_gradient_norm,failed,first_order_mse,mse_ratio_to_first_order
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1010,10000,1.0,5.4545284856946516e-05,0.0052291552755236665,6.706673121267285e-05,300.0,0.15809351625153445,5000.0,2.0,0.020000000000000004,0.3,1.0,26.006698518501413,0.0,0.0025123316947977107,2.081395257780526
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1011,10000,1.0,0.00012478986814532265,0.0060218845513127,6.556828918742217e-05,300.0,0.15920760338367523,5000.0,2.0,0.020000000000000004,0.3,1.0,26.272622644598155,0.0,0.0025123316947977107,2.396930534205426
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1012,10000,1.0,2.7864715606486143e-05,0.005634347820556619,6.722772374599015e-05,250.0,0.16028532929468786,5000.0,2.0,0.020000000000000004,0.3,1.0,24.72736812359756,0.0,0.0025123316947977107,2.2426767262554033
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1013,10000,1.0,6.886642781680652e-05,0.006535157552619544,6.256831564479188e-05,300.0,0.16061009978652388,5000.0,2.0,0.020000000000000004,0.3,1.0,18.2690868227491,0.0,0.0025123316947977107,2.6012319814903044
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1014,10000,1.0,0.0001442751671397001,0.004036672118091809,6.965578976132628e-05,200.0,0.15928532806935072,5000.0,2.0,0.020000000000000004,0.3,1.0,24.875094432599095,0.0,0.0025123316947977107,1.6067433000389846
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1015,10000,1.0,0.00010098712112772367,0.0050715636352891185,7.602527499120558e-05,200.0,0.16174802933680807,5000.0,2.0,0.020000000000000004,0.3,1.0,24.90706464663213,0.0,0.0025123316947977107,2.0186680149722322
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1016,10000,1.0,4.9594430606024755e-05,0.00509342754385116,8.417862628730639e-05,250.0,0.15658395904457484,5000.0,2.0,0.020000000000000004,0.3,1.0,23.70123691279265,0.0,0.0025123316947977107,2.0273706510960032
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1017,10000,1.0,0.00011896341326214069,0.005401387075363204,7.045727066422307e-05,200.0,0.16125188775473492,5000.0,2.0,0.020000000000000004,0.3,1.0,31.469664985726926,0.0,0.0025123316947977107,2.149949820140336
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1018,10000,1.0,5.185592385728538e-05,0.005751663509038565,6.9089044900823e-05,300.0,0.16083116680567497,5000.0,2.0,0.020000000000000004,0.3,1.0,22.354410926225512,0.0,0.0025123316947977107,2.2893726656191715
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1019,10000,1.0,9.247926111214805e-05,0.003849398091079694,8.165334537379033e-05,200.0,0.1605650504344556,5000.0,2.0,0.020000000000000004,0.3,1.0,25.345221498589485,0.0,0.0025123316947977107,1.5322013805146226
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1020,10000,1.0,5.41878643754067e-05,0.005971006322110014,7.527097356240805e-05,250.0,0.1589536060677754,5000.0,2.0,0.020000000000000004,0.3,1.0,24.021642293265323,0.0,0.0025123316947977107,2.376679136148378
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1021,10000,1.0,6.223063815115886e-05,0.005749765389461978,7.273291264506685e-05,250.0,0.16443787714856797,5000.0,2.0,0.020000000000000004,0.3,1.0,26.680440950431773,0.0,0.0025123316947977107,2.288617144530727
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1022,10000,1.0,0.00010919823045771194,0.005062655187728648,7.496147892486911e-05,250.0,0.15850096139446823,5000.0,2.0,0.020000000000000004,0.3,1.0,19.771530799610524,0.0,0.0025123316947977107,2.0151221266729613
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1023,10000,1.0,9.164633682123475e-05,0.006947746080781589,7.331651845037377e-05,300.0,0.1599414365785401,5000.0,2.0,0.020000000000000004,0.3,1.0,18.99484161352865,0.0,0.0025123316947977107,2.765457322044019
linear_d20,20,5.0,linear,0.001,0.0001,0.0,0,frozen,Gaussian-m1,gaussian,1024,10000,1.0,8.594691965237086e-05,0.004940283048894637,7.015738617151873e-05,200.0,0.15923099262343016,5000.0,2.0,0.020000000000000004,0.3,1.0,24.418715689528003,0.0,0.0025123316947977107,1.966413534934296
