task,method,seed,tail_loss,tail_tracking_error,tail_feasibility_residual,tail_frame_error,tail_subspace_error
grassmann_basis_rotation,ProjectedEuclideanSGD,1012,1.6761422247086884e-30,8.067806903083764e-10,7.820799664571502e-16,0.7046840696120691,8.067806903083764e-10
grassmann_basis_rotation,EuclideanSGD,1012,2.232107760601283e-32,5.832632724006616e-10,7.005961412815366e-16,0.7046840696120691,5.832632724006616e-10
simplex_tracking,ProjectedSGD,1013,0.0003343657852778192,0.016959464680866197,9.159339953157541e-17,,
simplex_tracking,ExponentiatedGradient,1013,0.00750042516110418,0.08054912383901129,5.662137425588298e-17,,
simplex_tracking,EuclideanSGD,1013,0.0003391655448491357,0.017120734521475556,0.005559097942057258,,
stiefel_frame_tracking,RiemannianSGD,1013,0.007931879163109945,0.08104987610531424,5.678386935512467e-16,0.08104987610531424,0.0624060187893914
stiefel_frame_tracking,ProjectedEuclideanSGD,1013,0.007920355406431063,0.08099613765912174,5.593813367463794e-16,0.08099613765912174,0.06236150966309566
stiefel_frame_tracking,EuclideanSGD,1013,0.007894117160026361,0.08086937890083395,0.007513414976593786,0.08086937890083395,0.06225745539730644
grassmann_subspace_tracking,RiemannianSGD,1013,0.0019455081261200561,0.04029482614496466,5.439459645587009e-16,0.045646085141952696,0.04029482614496466
grassmann_subspace_tracking,ProjectedEuclideanSGD,1013,0.0019431874231032587,0.04027188405825065,5.103910073588683e-16,0.04564007991830528,0.04027188405825065
grassmann_subspace_tracking,EuclideanSGD,1013,0.00195472315925942,0.04029150132629249,0.004815117127512789,0.04567790233167513,0.04029150132629249
grassmann_basis_rotation,RiemannianSGD,1013,1.155214158044613e-31,2.252927589878618e-08,2.5432241424298765e-16,0.704684069612069,2.252927589878618e-08
grassmann_basis_rotation,ProjectedEuclideanSGD,1013,3.0457534846076876e-31,1.7465474034194985e-08,3.447711278819573e-16,0.7046840696120698,1.7465474034194985e-08
grassmann_basis_rotation,EuclideanSGD,1013,2.3586487870718214e-32,1.5388905165867576e-08,3.21040430417533e-16,0.704684069612069,1.5388905165867576e-08
simplex_tracking,ProjectedSGD,1014,0.00029647072912339844,0.015860793887448953,7.605027718682323e-17,,
simplex_tracking,ExponentiatedGradient,1014,0.007313513456058081,0.07794229709127118,6.217248937900877e-17,,
simplex_tracking,EuclideanSGD,1014,0.0003011681227353849,0.016067284981802613,0.005236444804026324,,
stiefel_frame_tracking,RiemannianSGD,1014,0.006927628174796138,0.0755754795681457,5.491360855055189e-16,0.0755754795681457,0.07199730926453496
stiefel_frame_tracking,ProjectedEuclideanSGD,1014,0.006915310554341576,0.07551445063715487,5.907761901330801e-16,0.07551445063715487,0.07193588822264604
stiefel_frame_tracking,EuclideanSGD,1014,0.006888888777640404,0.07537906265539004,0.00769407728788003,0.07537906265539004,0.07179889883207212
grassmann_subspace_tracking,RiemannianSGD,1014,0.002003651471722908,0.04093997963621146,5.739269867901914e-16,0.06788666756078345,0.04093997963621146
grassmann_subspace_tracking,ProjectedEuclideanSGD,1014,0.00200152383175341,0.04091970793452162,5.479207263881728e-16,0.06787072731981755,0.04091970793452162
grassmann_subspace_tracking,EuclideanSGD,1014,0.002012817407156699,0.04093689810466595,0.004745039273215232,0.06788435416127576,0.04093689810466595
grassmann_basis_rotation,RiemannianSGD,1014,9.357780636161616e-32,1.8737225630590036e-08,4.674162776581109e-16,0.704684069612069,1.8737225630590036e-08
grassmann_basis_rotation,ProjectedEuclideanSGD,1014,7.110443076711532e-32,2.020224459853307e-08,3.093036461234596e-16,0.7046840696120691,2.020224459853307e-08
grassmann_basis_rotation,EuclideanSGD,1014,2.0163764294005215e-32,1.9402120992554775e-08,1.6101161497919476e-16,0.704684069612069,1.9402120992554775e-08
simplex_tracking,ProjectedSGD,1015,0.0001504408657637609,0.01169196362603314,7.16093850883226e-17,,
simplex_tracking,ExponentiatedGradient,1015,0.003208679563833789,0.05194132595041985,8.326672684688674e-17,,
simplex_tracking,EuclideanSGD,1015,0.00015501326193996203,0.011909434841887459,0.00556899477278465,,
stiefel_frame_tracking,RiemannianSGD,1015,0.009388130128261101,0.08826773405338727,5.816000781729228e-16,0.08826773405338727,0.07767375215774469
stiefel_frame_tracking,ProjectedEuclideanSGD,1015,0.009362592482268253,0.08815879193199272,5.718124813110324e-16,0.08815879193199272,0.07756695254459185
stiefel_frame_tracking,EuclideanSGD,1015,0.009290826976839417,0.0879049376667647,0.009298420885589529,0.0879049376667647,0.07731795186211288
grassmann_subspace_tracking,RiemannianSGD,1015,0.00619635832938134,0.07211725713870581,5.343539212127218e-16,0.09330209641669018,0.07211725713870581
grassmann_subspace_tracking,ProjectedEuclideanSGD,1015,0.0061681145406762726,0.07196588975050176,5.551608536584018e-16,0.0931651402580484,0.07196588975050176
