case_id,sweep,x_value,dim,condition_number,learning_rate,gradient_noise,drift_per_step,seed,tail_empirical_mse,tail_exact_mse,empirical_exact_ratio,final_empirical_mse,final_exact_mse
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1020,8.741772174262746e-05,8.802719668353056e-05,0.9930762881942697,5.666106082076234e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1021,8.073730282440128e-05,8.802719668353056e-05,0.9171858910225504,0.0001230245745208364,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1022,8.732192719655826e-05,8.802719668353056e-05,0.9919880501305995,4.693584058414593e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1023,9.324698721641375e-05,8.802719668353056e-05,1.0592974754342006,3.907762963537482e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1024,9.724439220759571e-05,8.802719668353056e-05,1.1047084977294255,5.3762451008928146e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1025,8.570964843928888e-05,8.802719668353056e-05,0.9736723611388697,6.499724187809703e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1026,8.932330994869411e-05,8.802719668353056e-05,1.014724009328881,8.753577435985755e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1027,8.418094383991735e-05,8.802719668353056e-05,0.956306085067766,6.868118120189667e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1028,8.002800716014752e-05,8.802719668353056e-05,0.9091282032740269,6.493509575338471e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1029,7.6351471586284e-05,8.802719668353056e-05,0.8673622978223157,7.264766851138393e-05,8.802719668353058e-05
eta_noise_0p05,eta_noise,0.05,20,5.0,0.05,0.02,0.0,1030,7.770148762140913e-05,8.802719668353056e-05,0.8826986493816936,0.00011173729963538701,8.802719668353058e-05
eta_drift_0p05,eta_drift,0.05,20,5.0,0.05,0.0,0.01,1001,0.006928312398954698,0.006928312398954763,0.9999999999999906,0.006928312398954816,0.006928312398954762
