case_id,dim,condition_number,path_kind,observation_noise,drift_per_query,amplitude,period,protocol,method,family,seed,final_mse,query_averaged_mse,tail_mse,queries_to_threshold,mean_gradient_cosine,updates,queries_per_update,learning_rate,smoothing,directions,maximum_gradient_norm,failed
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1002,1.6005314936951775e-05,0.003705498564640382,2.526698054311976e-05,200.0,0.13846116184690446,5000.0,2.0,0.020000000000000004,0.3,1.0,23.87702817708048,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1003,1.0255862959634818e-05,0.006266900552770004,2.0169238617774373e-05,300.0,0.141593285536503,5000.0,2.0,0.020000000000000004,0.3,1.0,27.733397352278253,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1004,2.584876032824089e-05,0.0064264501493974235,2.4406760232272506e-05,250.0,0.14385541708444452,5000.0,2.0,0.020000000000000004,0.3,1.0,22.374621371674994,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1005,2.3518560971495043e-05,0.010050886729767769,2.186165553027837e-05,350.0,0.14511324508261433,5000.0,2.0,0.020000000000000004,0.3,1.0,17.031762822912604,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1006,3.125079036811878e-05,0.004743705724994029,2.342535027032803e-05,250.0,0.14324651635167238,5000.0,2.0,0.020000000000000004,0.3,1.0,18.637952930008503,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1007,1.6875127400681158e-05,0.006232481222056407,2.4566575323430533e-05,300.0,0.1403047430214995,5000.0,2.0,0.020000000000000004,0.3,1.0,25.175670000890058,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1008,3.1092735454306986e-05,0.006692444014132961,2.1780483009212347e-05,300.0,0.14160696482308294,5000.0,2.0,0.020000000000000004,0.3,1.0,31.861442477442136,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1009,1.7112866031307565e-05,0.007920634968869546,2.4748239772132254e-05,300.0,0.14114956227181238,5000.0,2.0,0.020000000000000004,0.3,1.0,22.48597493589801,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1010,2.1431127065998018e-05,0.003907903637308835,2.3024045312286748e-05,200.0,0.14084697033241764,5000.0,2.0,0.020000000000000004,0.3,1.0,27.278471893398354,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1011,2.6663979357924956e-05,0.0059519169841343025,2.5371574299527372e-05,300.0,0.13820812767357152,5000.0,2.0,0.020000000000000004,0.3,1.0,31.817908361218933,0.0
