method,fine_tune_episodes,seed,scenario,dimension,noise,dynamic_regret,mean_regret,tail_regret,mean_tracking_error,post_change_error,max_constraint_violation,mean_step_size,mean_reallocation_l1,exploration_fraction,reversal_fraction,value_queries
Curriculum pretrained,50,21160736,mixed,12,heavy_tailed,19.87407231667833,0.0662469077222611,0.14290825851210195,0.23907754917828952,0.24267081151589603,4.440892098500626e-16,0.05586666666666666,0.10757613505683467,0.45,0.36,301.0
Curriculum pretrained,50,21160737,mixed,12,heavy_tailed,17.418501789390938,0.05806167263130312,0.1284553740794677,0.22828191369401893,0.2135618283984651,4.440892098500626e-16,0.0654,0.12629612913215535,0.36333333333333334,0.41333333333333333,301.0
Curriculum pretrained,50,21160738,mixed,12,heavy_tailed,18.334688308536386,0.061115627695121286,0.0720931055563084,0.23966657745361744,0.2371689124287341,4.440892098500626e-16,0.06773333333333334,0.1320537005466463,0.42,0.4033333333333333,301.0
Curriculum pretrained,50,21160739,mixed,12,heavy_tailed,14.444059738127006,0.04814686579375669,0.08791620535983638,0.20634113807928486,0.21466386843134844,6.661338147750939e-16,0.050266666666666675,0.0980025619168645,0.46,0.3333333333333333,301.0
Curriculum pretrained,50,21160740,mixed,12,heavy_tailed,17.703604287550014,0.05901201429183338,0.0729843728857483,0.2282833937766071,0.20585691306169962,5.551115123125783e-16,0.06493333333333333,0.12258349677255119,0.35333333333333333,0.43666666666666665,301.0
Curriculum pretrained,50,21160741,mixed,12,heavy_tailed,21.693032317404107,0.07231010772468036,0.11657818205368391,0.25736267268090973,0.24820692212513257,5.551115123125783e-16,0.06946666666666666,0.13374634845119368,0.41,0.38666666666666666,301.0
Curriculum pretrained,50,21160742,mixed,12,heavy_tailed,20.97282508001209,0.06990941693337363,0.1513447778459874,0.24963847440647488,0.2349752163073547,4.440892098500626e-16,0.06473333333333334,0.12611173094499237,0.42,0.39,301.0
Curriculum pretrained,50,21160743,mixed,12,heavy_tailed,10.230047530963104,0.03410015843654368,0.0612399224974017,0.17401546940663754,0.19106173335774473,4.440892098500626e-16,0.04906666666666666,0.09563620853924136,0.4633333333333333,0.3433333333333333,301.0
Curriculum pretrained,50,21160744,mixed,12,heavy_tailed,14.349538142773337,0.047831793809244454,0.08440509696820345,0.20533349042440713,0.22831588922458335,4.440892098500626e-16,0.050633333333333336,0.09851892928760407,0.48333333333333334,0.30666666666666664,301.0
Curriculum pretrained,50,21160745,mixed,12,heavy_tailed,18.38229646727659,0.06127432155758863,0.09118817006935605,0.2372619297047017,0.2591384711282947,4.440892098500626e-16,0.06196666666666666,0.1207980443134727,0.39,0.38666666666666666,301.0
Curriculum pretrained,50,21160746,mixed,12,heavy_tailed,28.798280298779684,0.09599426766259894,0.14178370547072722,0.3000522638250379,0.306213627294026,6.661338147750939e-16,0.0696,0.1351762244253348,0.42333333333333334,0.36333333333333334,301.0
Curriculum pretrained,50,21160747,mixed,12,heavy_tailed,17.470385041813767,0.05823461680604589,0.09848610501968559,0.23206217291634754,0.241185100108819,4.440892098500626e-16,0.0624,0.12045257471686836,0.39666666666666667,0.34,301.0
Curriculum pretrained,50,21160748,mixed,12,heavy_tailed,15.74495947303582,0.05248319824345273,0.06856074105837448,0.2182129470692397,0.19025359455709162,4.440892098500626e-16,0.05846666666666667,0.10974894390824318,0.43333333333333335,0.37,301.0
Curriculum pretrained,50,21160749,mixed,12,heavy_tailed,19.662881992549956,0.06554293997516653,0.09779947952663179,0.2434749764757864,0.20753248498928628,4.440892098500626e-16,0.0623,0.12216344162956673,0.4166666666666667,0.39,301.0
Curriculum pretrained,50,21160750,mixed,12,heavy_tailed,22.468548915570352,0.07489516305190118,0.08186177911219322,0.2666560715048083,0.2671833900404281,5.551115123125783e-16,0.0689,0.13537012141263147,0.39666666666666667,0.38666666666666666,301.0
Curriculum pretrained,50,21160751,mixed,12,heavy_tailed,15.069844253412008,0.05023281417804003,0.09167170757864852,0.2149134808361836,0.23074387842227945,5.551115123125783e-16,0.05650000000000001,0.10959289590006134,0.45,0.32666666666666666,301.0
Curriculum pretrained,50,21160752,mixed,12,heavy_tailed,20.439940633902197,0.06813313544634066,0.13338894556200623,0.24062075793669985,0.2452123237826654,4.440892098500626e-16,0.0625,0.12230984921271514,0.45666666666666667,0.3333333333333333,301.0
Curriculum pretrained,50,21160753,mixed,12,heavy_tailed,23.106143701757695,0.07702047900585898,0.12417622510409353,0.26078152543035976,0.2874359296409167,4.440892098500626e-16,0.06346666666666666,0.12339222649661773,0.4,0.39,301.0
Curriculum pretrained,50,21160754,mixed,12,heavy_tailed,24.563173679605704,0.08187724559868569,0.15664757748396657,0.272713400745525,0.2729813555795643,4.440892098500626e-16,0.06430000000000001,0.1257201828335079,0.44666666666666666,0.3433333333333333,301.0
